mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__l1_ratio,param_classifier__penalty,param_classifier__solver,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.23975486755371095,0.029627464644833845,0.020084428787231445,0.003689676426299615,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8817541111981206,0.8966327329678935,0.8628526645768025,0.8910658307210031,0.8738244514106583,0.8812259581748956,0.0120567903430765,39,0.8859941234084231,0.8873653281096964,0.8969839404622013,0.8820994907951429,0.8901292596944771,0.8885144284939882,0.00496314633842986
0.3077890872955322,0.07190550848491879,0.025790882110595704,0.009989442535742332,0.1,balanced,0.5,elasticnet,saga,CountVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8817541111981206,0.8966327329678935,0.8628526645768025,0.8910658307210031,0.8746081504702194,0.8813826979868079,0.011964290254556208,37,0.8859941234084231,0.8873653281096964,0.8969839404622013,0.8820994907951429,0.890325107716412,0.8885535980983752,0.004976491053629144
0.18085064888000488,0.02690752149814892,0.017033481597900392,0.002782917693489595,0.1,balanced,0.5,elasticnet,saga,TfidfVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8418167580266249,0.7564604541895067,0.7531347962382445,0.7789968652037618,0.8401253918495298,0.7941068531015335,0.03928921853482186,62,0.8548481880509304,0.7604309500489715,0.7775166470818645,0.7757540148844496,0.8499804151978065,0.8037060430528046,0.040241199104800694
0.16124410629272462,0.011965375450505203,0.016748857498168946,0.002218415290995622,0.1,balanced,0.5,elasticnet,saga,TfidfVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.7572435395458105,0.754894283476899,0.7437304075235109,0.7727272727272727,0.7594043887147336,0.7575999783976454,0.009294124598040182,67,0.7649363369245837,0.7555337904015671,0.7720329024676851,0.7679200940070505,0.7618488053270662,0.7644543858255904,0.005586472894568835
0.18106598854064943,0.024281593956020774,0.016499900817871095,0.00171956259783096,0.1,balanced,0.5,elasticnet,saga,TfidfVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.759592795614722,0.759592795614722,0.7413793103448276,0.7609717868338558,0.7578369905956113,0.7558747358007478,0.007315677273127772,68,0.7643486777668952,0.7561214495592556,0.7643948296122209,0.7600861731296514,0.763219741480611,0.7616341743097268,0.0031714416847713244
0.1728214740753174,0.022682809511698848,0.021661901473999025,0.005792485770390552,0.1,balanced,0.5,elasticnet,saga,TfidfVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.7556773688332028,0.7588097102584181,0.7390282131661442,0.7633228840125392,0.7570532915360502,0.7547782935612709,0.008286269741551347,69,0.7602350636630754,0.7553379040156709,0.7622405013709361,0.7593027810419115,0.7614571092831962,0.759714671874958,0.002408836288748457
0.20677785873413085,0.020709516254587564,0.01563296318054199,1.7538664446306366e-05,0.1,balanced,0.6,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.6, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.8817541111981206,0.8966327329678935,0.8612852664576802,0.8847962382445141,0.8746081504702194,0.8798152998676855,0.011677939335278307,45,0.8879529872673849,0.884818805093046,0.8958088523305915,0.8803368585977281,0.8867998433215825,0.8871434693220666,0.005051658621617263
0.23285932540893556,0.03920301536509172,0.0164487361907959,0.0016418106905623359,0.1,balanced,0.6,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.6, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.8825371965544244,0.8966327329678935,0.8612852664576802,0.8847962382445141,0.8746081504702194,0.8799719169389462,0.011708103375486629,43,0.8879529872673849,0.884818805093046,0.8958088523305915,0.8803368585977281,0.8867998433215825,0.8871434693220666,0.005051658621617263
0.22842855453491212,0.032107521084322715,0.017697525024414063,0.0026940286769233162,0.1,balanced,0.6,elasticnet,saga,CountVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.6, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.8817541111981206,0.8966327329678935,0.8612852664576802,0.8847962382445141,0.8746081504702194,0.8798152998676855,0.011677939335278307,45,0.8879529872673849,0.8850146914789422,0.8958088523305915,0.8803368585977281,0.8867998433215825,0.887182646599246,0.00503420760754369
0.22271208763122557,0.04097609222627144,0.01923527717590332,0.00533169859528427,0.1,balanced,0.6,elasticnet,saga,CountVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.6, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.8817541111981206,0.8966327329678935,0.8612852664576802,0.8847962382445141,0.8746081504702194,0.8798152998676855,0.011677939335278307,45,0.8879529872673849,0.884818805093046,0.8958088523305915,0.8803368585977281,0.8867998433215825,0.8871434693220666,0.005051658621617263
0.13961148262023926,0.00587280252055216,0.01218428611755371,0.00596467088206621,0.1,balanced,0.6,elasticnet,saga,TfidfVectorizer(),1000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.6, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8347689898198903,0.7423649177760376,0.7366771159874608,0.7664576802507836,0.835423197492163,0.7831383802652672,0.043586218074198206,63,0.8507345739471107,0.7459353574926543,0.7645906776341559,0.7618488053270662,0.8429298864081473,0.7932078601618268,0.044313938343442764
0.14827489852905273,0.024941007761152063,0.025949668884277344,0.011854647891355813,0.1,balanced,0.6,elasticnet,saga,TfidfVectorizer(),1500,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.6, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1500}",0.7486296006264683,0.7431480031323414,0.7398119122257053,0.7586206896551724,0.7476489028213166,0.7475718216922009,0.006371635372746754,70,0.7498530852105779,0.7449559255631734,0.7669408538973757,0.7500979240109675,0.7538190364277321,0.7531333650219653,0.007456025056230927
0.1560664653778076,0.018317866560707174,0.015865373611450195,0.0016263806051656324,0.1,balanced,0.6,elasticnet,saga,TfidfVectorizer(),2000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.6, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.7478465152701644,0.7478465152701644,0.7351097178683386,0.7523510971786834,0.7492163009404389,0.7464740293055578,0.00591565702847951,71,0.7484818805093046,0.7469147894221352,0.7628280454367411,0.7473560517038778,0.7487269878574226,0.7508615509858962,0.00602132265911926
0.21808409690856934,0.04631734830735182,0.030321502685546876,0.007635530225751633,0.1,balanced,0.6,elasticnet,saga,TfidfVectorizer(),5000,"{'classifier__C': 0.1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.6, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 5000}",0.7478465152701644,0.750195771339076,0.7335423197492164,0.7531347962382445,0.7421630094043887,0.745376482400218,0.006926642133233319,72,0.7461312438785505,0.7463271302644466,0.7600861731296514,0.7471602036819428,0.7442224833529182,0.748785446861502,0.005731606747275681
1.5027934551239013,0.06265212406696703,0.019438886642456056,0.004475331516222781,1,balanced,0.4,elasticnet,saga,CountVectorizer(),1000,"{'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.9115113547376664,0.8997650743931088,0.8769592476489029,0.8855799373040752,0.8918495297805643,0.8931330287728635,0.011849343025015896,15,0.9159647404505387,0.9257590597453477,0.9283196239717979,0.917939678809244,0.9296905601253427,0.9235347326204542,0.00555601362985302
1.7483114719390869,0.19358825737400953,0.022290611267089845,0.00818023776590007,1,balanced,0.4,elasticnet,saga,CountVectorizer(),1500,"{'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 1500}",0.9122944400939702,0.9028974158183242,0.8816614420062696,0.8847962382445141,0.8934169278996865,0.8950132928125528,0.011366670153274692,12,0.9210577864838394,0.9300685602350637,0.9328241284763024,0.9230317273795534,0.9336075205640423,0.9281179446277603,0.005134276006158409
2.149668502807617,0.10994132486099105,0.01736283302307129,0.0019289595056243738,1,balanced,0.4,elasticnet,saga,CountVectorizer(),2000,"{'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.9138606108065779,0.9028974158183242,0.8871473354231975,0.8871473354231975,0.8942006269592476,0.8970506648861087,0.010208166959831125,3,0.9247796278158668,0.932615083251714,0.935957696827262,0.9242068155111633,0.9355660007833921,0.9306250448378798,0.00514145978561449
2.0199071407318114,0.1506088688626547,0.017813873291015626,0.004921535421736751,1,balanced,0.4,elasticnet,saga,CountVectorizer(),5000,"{'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': CountVectorizer(), 'vectorization__max_features': 5000}",0.9138606108065779,0.9028974158183242,0.8871473354231975,0.890282131661442,0.8942006269592476,0.8976776241337578,0.009662350453904336,1,0.9257590597453477,0.933594515181195,0.9371327849588719,0.927144535840188,0.9379161770466118,0.9323094145544429,0.005018670971099667
0.6532079219818115,0.039217027482919393,0.022871112823486327,0.00642721136904771,1,balanced,0.4,elasticnet,saga,TfidfVectorizer(),1000,"{'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__l1_ratio': 0.4, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga', 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.8856695379796398,0.8888018794048551,0.8667711598746082,0.8746081504702194,0.8699059561128527,0.8771513367684352,0.008660326845292467,57,0.8987267384916748,0.9032321253672869,0.9095182138660399,0.8969839404622013,0.9048178613396005,0.9026557759053606,0.004465577212047917
